word,weight
aman,2
bagus,2
baik,2
cuan,3
cepat,2
efisien,2
gampang,2
inovatif,1
keren,2
keuntungan,3
lancar,2
mantap,2
memuaskan,3
nyaman,2
praktis,2
profit,3
puas,3
rekomendasi,2
terpercaya,3
terbaik,3
happy,2
hebat,2
ramah,2
terjangkau,2
top,2
mudah digunakan,3
fitur lengkap,2
responsif,2
bagus banget,3
user friendly,3
luar biasa,3
sangat puas,3
akurat,2
support cepat,2
banyak promo,2
dividen rutin,3
update cepat,2
auto cuan,3
simpel,2
hemat waktu,2
value tinggi,2
fitur keren,2
desain menarik,1
banyak insight,2
terstruktur,2
edukatif,2
tepat,2
tidak ribet,2
unggul,2
informatif,2
performanya bagus,3
fitur oke,2
abadi,2
adil,2
afeksi,2
agung,2
ahli,3
akrab,2
aktif,1
amanah,2
andal,2
anggun,2
antusias,3
apresiatif,2
asli,1
aspiratif,2
atraktif,2
autentik,2
bahagia,3
baik,1
bakti,2
bangga,2
bantuan,1
baru,1
bebas,2
benar,2
berdaya,2
bereputasi,3
berharga,2
berhasil,3
berjasa,2
berkah,2
berkarya,2
berkembang,2
berkompeten,3
berkualitas,3
bermanfaat,2
berpengalaman,2
berprestasi,3
bersahabat,2
bersemangat,3
bersih,1
bersinar,2
bersungguh-sungguh,3
bertalenta,3
bertanggung jawab,2
bertumbuh,2
bijak,2
bijaksana,3
bonus,2
brilian,3
cakap,2
cekatan,2
cemerlang,3
cepat,1
cerdas,3
cerdik,3
cergas,2
cermat,2
cetar,2
cinta,2
cintai,2
cocok,1
cukup,1
damai,2
dedikasi,3
dekat,1
demokratis,2
dermawan,3
dinamis,2
disiplin,2
dukung,1
edukasi,2
efektif,2
efisien,2
ekslusif,2
eksplosif,2
ekstra,1
elegant,2
elok,2
empati,3
enaak,2
energik,2
etis,2
faktual,2
fantastis,3
favorit,2
fleksibel,2
fokus,2
fresh,1
futuristik,2
gemilang,3
gembira,2
gesit,2
gigih,3
handal,2
harmonis,2
hemat,1
heroik,3
hidup,1
higienis,2
hikmah,2
hormat,2
humoris,2
ideal,2
ikhlas,2
imajinatif,2
imbalan,2
inspiratif,3
inspirasi,3
inspiratif,3
integritas,3
intelektual,3
interaktif,2
intim,2
inovatif,3
istimewa,3
jaya,2
jenius,3
jitu,2
juara,3
jujur,3
karis,2
karya,2
kasih,2
kaya,2
kebangkitan,2
kebebasan,2
kebenaran,2
keberanian,3
keberhasilan,3
kebersamaan,2
kebijakan,2
kecanggihan,2
kecepatan,2
kecerdasan,3
keceriaan,2
kecukupan,2
kedamaian,2
kedaulatan,2
kegembiraan,2
kehangatan,2
keharmonisan,2
keindahan,2
kejujuran,3
kekayaan,2
kekuatan,2
kelayakan,2
kemandirian,2
kemudahan,2
kemurahan,2
kemuliaan,3
keramahan,2
keren,2
kesabaran,2
kesehatan,3
kesejahteraan,3
keselamatan,3
kesembuhan,3
keseruan,2
kesuksesan,3
ketahanan,2
ketakjuban,3
ketegasan,2
ketepatan,2
keterampilan,2
keterbukaan,2
ketertiban,2
ketika,1
ketulusan,3
keunggulan,3
kewajaran,1
kewalahan,1
khas,1
kokoh,2
kolaborasi,2
komitmen,3
kompak,2
kompeten,3
komprehensif,2
komunikatif,2
kondusif,2
konsisten,2
konstruktif,2
kontributif,2
kooperatif,2
kreatif,3
kredibel,3
kuat,2
kudos,2
kurang,1
laris,2
layak,2
layanan,1
legit,2
lengkap,2
lestari,2
lezat,2
luar biasa,3
lumayan,1
lunas,2
luwes,2
makmur,3
maksimal,3
maju,2
manis,1
manjur,2
mantap,2
mapan,2
masuk akal,2
masyarakat,1
matang,2
mawas,2
megah,2
melegakan,2
memikat,2
memiliki,1
mempesona,3
menarik,2
mencukupi,2
mendalam,2
mendidik,2
mendukung,2
meneguhkan,2
mengagumkan,3
mengasyikkan,2
mengesankan,3
menggembirakan,2
menginspirasi,3
mengoptimalkan,2
mengungguli,2
menjanjikan,2
menjiwai,2
menonjol,2
merakyat,2
meriah,2
mewah,2
modern,2
mulia,3
murah,1
murni,2
mutakhir,2
mudah,1
mulus,1
mumpuni,2
nyaman,2
objektif,2
optimal,2
optimis,3
orisinal,2
otentik,2
padat,1
paham,1
pantas,1
peduli,2
peka,2
pencapaian,2
pencerahan,2
penghargaan,2
peningkatan,2
penyembuhan,2
percaya,2
perdamaian,3
perhatian,2
perkasa,2
personal,1
pertumbuhan,2
pesat,2
polos,1
populer,2
positif,2
potensial,2
praktis,2
premium,2
presisi,2
prestisius,3
prima,2
produktif,2
profesional,3
progresis,2
proporsional,2
prospektif,2
protektif,2
puas,2
ramah,2
rapi,1
rasional,2
religius,2
responsif,2
rileks,2
ringan,1
royal,2
rutin,1
sahaja,1
santai,1
santun,2
segar,1
sejahtera,3
seksi,2
selamat,2
selektif,2
sempurna,3
seni,2
sensitif,2
serentak,1
setia,3
sigap,2
sinergi,2
sistematis,2
solid,2
sopan,2
spontan,2
sportif,2
stabilitas,2
standar,1
strategis,2
suci,2
sukarela,2
sukses,3
sumber daya,2
super,3
superior,3
suportif,2
tanggap,2
tangguh,3
tangkas,2
tanpa cela,3
taqwa,2
tegas,2
tekun,2
teladan,3
teliti,2
tematik,1
tenang,2
tepa,1
tepat,2
tepat waktu,2
terbaru,1
terbuka,2
terdepan,3
terampil,2
teratur,2
terbaik,3
terberkati,2
terencana,2
terharu,2
terik,1
terima,1
terkenal,2
terkirim,1
terkontrol,2
termotivasi,3
terorganisir,2
terpadu,2
terpelajar,2
terpercaya,3
tersedia,1
tersertifikasi,2
tersusun,1
tertata,2
tertib,2
teruji,2
transparan,2
tulus,3
tumbuh,2
tuntas,2
ulet,2
unggul,3
unik,2
universal,2
utama,2
utuh,2
vital,2
wah,1
wangi,1
waras,2
waspada,2